ISU GP and JGP Final 2011,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
1 Carolina KOSTNER ITA  4,66.43  34.26,,32.17,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3T+3T  8.20  1.40 2 2 2,2 2 2 2,,2 2,9.60,
2 3Lo  5.10  1.00 1 2 2,1 1 1 1,,2 2,6.10,
3 FCSp4  3.20  0.43 1 1 0,1 1 1 0,,1 1,3.63,
4 2A  3.30  0.79 1 1 1,2 2 2 2,,2 1,4.09,
Info,,,Info,,Info
5 LSp3  2.40  0.43 1 1 1,0 1 1 1,,0 1,2.83,
6 CiSt3  3.30  0.64 2 1 1,0 2 1 1,,1 2,3.94,
7 CCoSp4  3.50  0.57 1 1 2,1 2 1 1,,1 1,4.07,
29.00,,,,34.26,
Program Components Factor,,,,,
Skating Skills  0.80 8.00 8.50 8.00,7.75 8.00 8.00 8.25,,7.75 8.50,8.07,
Transition / Linking Footwork  0.80 7.75 8.00 7.50,8.25 8.00 7.25 7.50,,7.00 8.00,7.71,
Performance / Execution  0.80 8.00 8.75 7.75,8.00 8.25 7.75 8.00,,7.75 8.25,8.00,
Choreography / Composition  0.80 8.25 8.75 7.75,8.00 8.50 8.00 8.25,,8.25 8.50,8.25,
Interpretation  0.80 8.25 8.50 7.50,7.75 8.50 8.25 8.00,,8.00 8.50,8.18,
Judges Total Program Component Score (factored),,,,32.17,
Deductions:,,,,0.00,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
2 Akiko SUZUKI JPN  3,61.30  31.08,,30.22,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3F+2T  6.60 -1.10 -1 -2 -1,-2 -3 -2 -1,,-1 -2,5.50,
2 3Lz  6.00  0.50 0 1 1,0 1 2 1,,1 0,6.50,
3 FCSp4  3.20  0.29 2 0 0,1 1 1 0,,0 1,3.49,
4 2A  3.30  0.50 1 1 1,1 1 1 1,,2 1,3.80,
5 CCoSp4  3.50  0.50 1 1 1,1 1 2 1,,1 1,4.00,
6 SlSt3  3.30  0.86 2 1 1,2 2 2 1,,2 2,4.16,
7 LSp4  2.70  0.93 2 2 0,2 1 2 2,,2 2,3.63,
28.60,,,,31.08,
Program Components Factor,,,,,
Skating Skills  0.80 7.75 7.00 7.75,8.00 7.50 7.75 7.50,,8.25 7.25,7.64,
Transition / Linking Footwork  0.80 7.75 6.50 7.00,7.75 7.25 7.00 6.50,,7.75 7.75,7.29,
Performance / Execution  0.80 8.00 7.25 7.00,7.75 7.75 8.00 7.25,,8.00 7.50,7.64,
Choreography / Composition  0.80 7.75 6.75 7.50,8.00 7.50 7.50 7.00,,8.00 7.25,7.50,
Interpretation  0.80 8.00 7.00 7.25,8.25 7.75 7.75 7.25,,8.25 7.75,7.71,
Judges Total Program Component Score (factored),,,,30.22,
Deductions:,,,,0.00,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
3 Alena LEONOVA RUS  1,60.46  30.75,,29.71,0.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 3T+3T  8.20  0.40 -1 0 2,0 1 1 1,,0 1,8.60,
2 3F  5.30 -0.60 0 -1 -1,-1 -1 0 -1,,-1 -1,4.70,
3 2A  3.30  0.36 0 1 1,1 1 1 0,,1 0,3.66,
