ISU GP Skate Canada International 2011,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
1 Patrick CHAN CAN,8,170.46  84.82,,87.64,-2.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4T  10.30 -2.71 -3 -1,-3,-3 -3 -3 -3,,-3 -1,7.59,
2 4T+3T  14.40  1.71 2 2,1,1 2 1 2,,2 2,16.11,
3 3A  8.50  1.71 2 2,1,2 1 2 1,,2 2,10.21,
4 CiSt3  3.30  1.36 1 3,2,3 3 3 3,,3 2,4.66,
"",,Info,,,,Info
5 FCCoSp3  3.00  0.86 2 1,2,1 2 2 2,,1 2,3.86,
6 3Lz  6.60 x -0.60 0 -1,-1,-1 -1 -1 -2,,-1 0,6.00,
7 3Lo  5.61 x  0.60 1 1,1,0 1 0 1,,1 1,6.21,
8 3F  5.83 x  0.00 0 2,-1,0 0 -1 -1,,1 1,5.83,
9 CSSp3  2.60  0.93 1 2,1,2 2 2 2,,2 2,3.53,
10 3Lz+2T  8.03 x  0.50 0 1,1,0 1 0 0,,2 2,8.53,
11 2A  3.63 x  0.36 0 2,1,0 0 1 1,,1 1,3.99,
12 ChSt1  2.00  1.80 1 3,2,2 3 2 3,,3 3,3.80,
13 CCoSp4  3.50  1.00 1 2,2,2 2 2 2,,2 2,4.50,
77.30,,,,,84.82,
Program Components Factor,,,,,,
Skating Skills  2.00 9.00 9.50,8.75,9.00 9.25 9.25 9.00,,9.00 8.50,9.04,
Transition / Linking Footwork  2.00 8.75 9.00,8.75,8.00 8.75 8.50 9.50,,8.50 8.50,8.68,
Performance / Execution  2.00 8.75 9.25,8.00,8.50 8.25 8.75 8.75,,8.50 8.00,8.50,
Choreography / Composition  2.00 8.75 9.50,9.00,8.25 9.00 9.25 9.00,,8.75 8.50,8.89,
Interpretation  2.00 9.00 9.00,8.00,8.00 8.75 9.00 9.00,,9.00 8.25,8.71,
Judges Total Program Component Score (factored),,,,,87.64,
Deductions: Falls: -2.00,,,,,-2.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
2 Javier FERNANDEZ ESP,10,165.62  85.48,,81.14,-1.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4T  10.30 -0.71 0 0,-1,-1 -1 -1 -1,,0 -1,9.59,
2 4S  10.50  2.00 2 2,1,2 2 2 2,,2 2,12.50,
3 3A  8.50 -3.00 -3 -3,-3,-3 -3 -3 -3,,-3 -3,5.50,
4 CiSt3  3.30  0.93 2 2,1,3 2 1 2,,2 2,4.23,
5 CSSp4  3.00  1.00 2 2,1,2 2 2 2,,2 2,4.00,
6 3A+3T  13.86 x  2.00 2 3,1,2 2 2 2,,2 2,15.86,
7 3Lz+3T  11.11 x  0.10 0 1,0,2 0 -1 0,,0 0,11.21,
8 3S  4.62 x -0.60 -1 -1,-1,0 -1 -1 1,,-1 -1,4.02,
9 3F+2T  7.26 x -0.50 -1 0,-1,1 -1 -1 -1,,-1 0,6.76,
10 2Lo  1.98 x  0.00 0 0,0,2 0 0 0,,0 0,1.98,
11 CCoSp4  3.50  0.36 1 1,1,0 2 0 1,,1 0,3.86,
12 ChSt1  2.00  0.80 1 1,1,2 2 0 1,,1 1,2.80,
13 FCSSp3  2.60  0.57 1 2,2,1 2 1 0,,0 1,3.17,
82.53,,,,,85.48,
Program Components Factor,,,,,,
