Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Aliona SAVCHENKO / Robin SZOLKOWY,GER,202.86,2,72,1,130.86,2008-03-23,wc2008
2,Dan ZHANG / Hao ZHANG,CHN,197.82,1,74.36,3,123.46,2008-03-23,wc2008
3,Jessica DUBE / Bryce DAVISON,CAN,192.78,4,68.66,2,124.12,2008-03-23,wc2008
4,Yuko KAWAGUCHI / Alexander SMIRNOV,RUS,191.33,3,71.42,4,119.91,2008-03-23,wc2008
5,Qing PANG / Jian TONG,CHN,186.78,5,67.87,5,118.91,2008-03-23,wc2008
6,Meagan DUHAMEL / Craig BUNTIN,CAN,169.61,7,60.01,6,109.6,2008-03-23,wc2008
7,Maria MUKHORTOVA / Maxim TRANKOV,RUS,166.64,6,64.09,9,102.55,2008-03-23,wc2008
8,Anabelle LANGLOIS / Cody HAY,CAN,164.67,9,59.43,7,105.24,2008-03-23,wc2008
9,Tatiana VOLOSOZHAR / Stanislav MOROZOV,UKR,159.95,8,59.53,10,100.42,2008-03-23,wc2008
10,Rena INOUE / John BALDWIN,USA,157.2,10,53.83,8,103.37,2008-03-23,wc2008
11,Brooke CASTILE / Benjamin OKOLSKI,USA,146.03,12,49.59,11,96.44,2008-03-23,wc2008
12,Huibo DONG / Yiming WU,CHN,142.83,11,50.49,12,92.34,2008-03-23,wc2008
13,Laura MAGITTERI / Ondrej HOTAREK,ITA,126.38,14,42.18,13,84.2,2008-03-23,wc2008
14,Adeline CANAC / Maximin COIA,FRA,124.68,16,41.75,14,82.93,2008-03-23,wc2008
15,Stacey KEMP / David KING,GBR,123.98,13,44.28,15,79.7,2008-03-23,wc2008
16,Dominika PIATKOWSKA / Dmitri KHROMIN,POL,111.94,17,38.32,16,73.62,2008-03-23,wc2008
17,Hayley Anne SACKS / Vadim AKOLZIN,ISR,111.23,15,41.96,17,69.27,2008-03-23,wc2008
18,Marina AGANINA / Dmitri ZOBNIN,UZB,97.31,18,35.24,19,62.07,2008-03-23,wc2008
19,Ariel Fay GAGNON / Chad TSAGRIS,GRE,95.65,19,33.34,18,62.31,2008-03-23,wc2008
20,Amy IRELAND / Michael BAHORIC,CRO,77.39,20,26.57,20,50.82,2008-03-23,wc2008
WD,Ekaterina KOSTENKO / Roman TALAN,UKR,WD,WD,WD,WD,WD,2008-03-23,wc2008
