ISU World Figure Skating Championships 2008,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
1 Jeffrey BUTTLE CAN,,163.07  84.29,,78.78,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
14 CCoSp2  2.50  0.21 0 0 0,1,1 0 1 0,-1,1 1 1,,2.71,
68.39,,,,,,74.11,
Program Components Factor,,,,,,,
Skating Skills  2.00 7.75 7.75 7.75,8.00,7.75 8.25 7.50 8.00,8.00,8.50 8.25 8.00,,8.04,
Transition / Linking Footwork  2.00 7.50 7.00 7.25,7.75,6.25 7.75 7.75 7.75,7.50,8.00 7.75 7.50,,7.64,
Performance / Execution  2.00 8.00 7.50 7.75,8.50,8.50 8.25 8.25 8.00,8.00,8.50 8.25 7.50,,8.07,
Choreography / Composition  2.00 8.25 7.50 7.75,8.00,7.00 7.75 7.75 7.75,7.75,8.00 8.25 7.75,,7.89,
Interpretation  2.00 8.50 7.25 7.75,8.25,7.50 8.00 8.50 7.75,7.75,8.25 8.50 7.75,,8.04,
Judges Total Program Component Score (factored),,,,,,79.36,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
ISU World Figure Skating Championships 2008,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
3 Kevin VAN DER PERREN BEL,,145.78  78.78,,67.00,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3A+2T  8.80  1.00 1 1 1,1,2 1 1 1,1,1 1 0,,9.80,
2 3A  7.50  0.86 1 0 2,0,2 1 1 Info2,1,1 1 1,,8.36,Info
3 3Lz  6.00  0.43 0 0 1,1,2 0 -1 1,0,1 1 0,,6.43,
4 FSSp4  3.00  0.36 0 1 1,1,1 1 1 0,1,1 0 1,,3.36,
5 SlSt3  3.10  0.29 1 1 1,1,1 0 1 0,0,1 1 0,,3.39,
6 CUSp4  3.00  0.00 0 0 0,0,0 0 0 0,0,0 0 0,,3.00,
7 3F+3T+3Lo  15.95 x  1.00 1 1 1,1,1 1 1 1,0,1 1 1,,16.95,
8 3S  4.95 x -0.43 0 0 0,-1,-1 0 0 -1,0,1 -1 -1,,4.52,
9 CSSp1  1.70 -0.21 0 0 0,-1,0 -1 -1 -1,-1,0 -1 -1,,1.49,
10 3F  6.05 x  0.43 0 0 1,1,2 0 1 2,-1,1 0 1,,6.48,
11 2A  3.85 x  0.14 0 0 1,0,1 0 1 2,0,1 0 0,,3.99,
12 2A+2T  5.28 x  0.29 0 1 1,0,1 0 0 1,0,1 0 0,,5.57,
13 CiSt1  1.80  0.00 0 0 0,0,0 0 0 0,0,1 -1 0,,1.80,
14 CCoSp4  3.50  0.14 1 0 0,0,0 0 0 0,0,1 0 1,,3.64,
74.48,,,,,,78.78,
Program Components Factor,,,,,,,
Skating Skills  2.00 6.75 6.75 7.00,6.50,6.50 7.00 6.75 7.25,6.50,7.00 6.50 6.50,,6.71,
Transition / Linking Footwork  2.00 6.50 6.25 6.50,6.50,5.75 6.75 6.25 6.75,6.25,6.50 6.00 6.25,,6.43,
Performance / Execution  2.00 7.00 6.50 6.75,7.25,6.75 7.00 6.50 7.50,6.50,7.00 6.50 6.25,,6.82,
Choreography / Composition  2.00 6.75 6.75 7.00,6.75,6.25 6.75 6.50 7.00,6.50,6.75 6.25 6.50,,6.68,
Interpretation  2.00 7.00 7.00 6.75,7.50,6.25 7.00 6.75 7.00,6.75,6.75 6.50 6.25,,6.86,
Judges Total Program Component Score (factored),,,,,,67.00,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
4 Sergei VORONOV RUS,,144.67  77.17,,67.50,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 4T  9.00  1.00 1 1 1,1,2 1 1 1,1,1 2 1,,10.00,
2 3A  7.50  0.57 0 1 0,0,1 1 1 0,2,0 1 1,,8.07,
3 3F  5.50  0.14 0 0 0,0,2 1 -1 0,0,0 0 1,,5.64,
4 3A+2T  8.80  0.57 0 0 1,0,2 1 1 0,1,1 1 1,,9.37,
5 FCCoSp4  3.50  0.00 0 0 0,0,0 0 0 -1,0,0 0 0,,3.50,
6 CiSt2  2.30  0.50 1 1 1,2,2 1 1 0,1,1 1 1,,2.80,
7 3Lo  5.50 x  0.29 0 0 0,1,1 0 0 0,1,1 0 0,,5.79,
8 CoSp3  2.50  0.21 0 0 1,1,0 0 0 0,1,0 1 1,,2.71,
9 3T+2T  5.83 x  0.71 0 1 1,0,1 0 0 1,1,1 1 1,,6.54,
10 3S  4.95 x  1.00 1 0 1,1,1 1 1 1,1,1 1 1,,5.95,
11 3T+2T+2Lo  7.48 x  0.00 0 0 0,1,1 0 0 0,0,0 0 0,,7.48,
12 FSSp3  2.30  0.07 0 0 1,0,0 0 1 0,1,1 0 0,,2.37,
13 SlSt2  2.30  0.36 1 1 1,1,2 1 0 0,0,0 1 1,,2.66,
14 CCoSp4  3.50  0.79 1 1 1,2,1 2 2 1,2,1 2 2,,4.29,
70.96,,,,,,77.17,
Program Components Factor,,,,,,,
Skating Skills  2.00 6.75 6.75 7.25,6.50,6.25 7.25 6.50 7.00,7.00,6.50 7.00 7.25,,6.89,
Transition / Linking Footwork  2.00 6.25 6.00 7.00,6.50,5.75 6.75 5.75 6.50,6.50,6.00 6.25 6.75,,6.39,
Performance / Execution  2.00 7.00 6.50 7.25,6.75,6.50 7.25 6.25 6.75,6.75,6.50 6.75 7.00,,6.79,
