Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Isabelle DELOBEL / Olivier SCHOENFELDER,FRA,212.94,1,40.73,1,67.25,2,104.96,2008-03-23,wc2008
2,Tessa VIRTUE / Scott MOIR,CAN,208.8,2,38.71,3,64.81,1,105.28,2008-03-23,wc2008
3,Jana KHOKHLOVA / Sergei NOVITSKI,RUS,203.26,3,37.98,2,65.99,5,99.29,2008-03-23,wc2008
4,Tanith BELBIN / Benjamin AGOSTO,USA,203.0,5,35.02,4,64.69,3,103.29,2008-03-23,wc2008
5,Federica FAIELLA / Massimo SCALI,ITA,201.91,4,37.15,5,63.55,4,101.21,2008-03-23,wc2008
6,Meryl DAVIS / Charlie WHITE,USA,191.19,7,34.8,7,60.36,6,96.03,2008-03-23,wc2008
7,Nathalie PECHALAT / Fabian BOURZAT,FRA,190.51,6,34.82,6,60.67,7,95.02,2008-03-23,wc2008
8,Sinead KERR / John KERR,GBR,186.94,8,33.48,8,59.86,8,93.6,2008-03-23,wc2008
9,Alexandra ZARETSKI / Roman ZARETSKI,ISR,179.21,9,32.51,9,58.1,10,88.6,2008-03-23,wc2008
10,Anna CAPPELLINI / Luca LANOTTE,ITA,179.03,11,31.52,10,57.05,9,90.46,2008-03-23,wc2008
11,Kristin FRASER / Igor LUKANIN,AZE,173.95,10,31.86,11,56.35,11,85.74,2008-03-23,wc2008
12,Kimberly NAVARRO / Brent BOMMENTRE,USA,165.9,12,31.48,13,52.1,14,82.32,2008-03-23,wc2008
13,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,164.72,16,29.12,12,52.88,13,82.72,2008-03-23,wc2008
14,Katherine COPELY / Deividas STAGNIUNAS,LTU,164.28,13,29.85,14,51.66,12,82.77,2008-03-23,wc2008
15,Ekaterina RUBLEVA / Ivan SHEFER,RUS,160.37,15,29.14,15,49.52,15,81.71,2008-03-23,wc2008
16,Cathy REED / Chris REED,JPN,155.15,18,28.16,18,47.7,16,79.29,2008-03-23,wc2008
17,Kaitlyn WEAVER / Andrew POJE,CAN,154.84,20,27.74,17,48.62,17,78.48,2008-03-23,wc2008
18,Anna ZADOROZHNIUK / Sergei VERBILLO,UKR,153.25,14,29.31,16,49.17,21,74.77,2008-03-23,wc2008
19,Allie HANN-MCCURDY / Michael CORENO,CAN,153.13,17,28.33,19,47.01,18,77.79,2008-03-23,wc2008
20,Nelli ZHIGANSHINA / Alexander GAZSI,GER,150.82,19,28.07,21,45.52,19,77.23,2008-03-23,wc2008
21,Barbora SILNA / Dmitri MATSJUK,AUT,147.21,21,24.85,20,46.9,20,75.46,2008-03-23,wc2008
22,Xiaoyang YU / Chen WANG,CHN,139.2,23,23.9,23,43.97,23,71.33,2008-03-23,wc2008
23,Kamila HAJKOVA / David VINCOUR,CZE,138.63,22,24.06,25,41.91,22,72.66,2008-03-23,wc2008
24,Leonie KRAIL / Oscar PETER,SUI,126.5,25,22.38,22,44.1,24,60.02,2008-03-23,wc2008
25,Krisztina BARTA / Adam TOTH,HUN,64.08,27,21.44,24,42.64,DNQ,DNQ,2008-03-23,wc2008
26,Joanna BUDNER / Jan MOSCICKI,POL,62.28,24,23.61,28,38.67,DNQ,DNQ,2008-03-23,wc2008
27,Danielle OBRIEN / Gregory MERRIMAN,AUS,60.12,28,20.24,27,39.88,DNQ,DNQ,2008-03-23,wc2008
28,Ksenia SHMIRINA / Egor MAISTROV,BLR,59.37,29,18.87,26,40.5,DNQ,DNQ,2008-03-23,wc2008
29,Sun Hye YU / Ramil SARKULOV,UZB,56.93,26,21.85,30,35.08,DNQ,DNQ,2008-03-23,wc2008
30,Ina DEMIREVA / Juri KURAKIN,BUL,53.38,30,17.75,29,35.63,DNQ,DNQ,2008-03-23,wc2008
31,Kristina KIUDMAA / Aleksei TROHLEV,EST,16.72,31,16.72,WD,WD,DNQ,DNQ,2008-03-23,wc2008
