8
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Victoria SINITSINA / Nikita KATSALAPOV,RUS,1,62.76,31.65,32.11,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,Ref,Scores of Panel
1,1RW2+kpTNY,,3.8,False,0.7,1,1,1,1,0,2,1,2,,4.5
2,2RW3+kpYYN,,4.4,False,0.6,1,1,1,1,1,1,1,1,,5.0
3,STw4,,6.6,False,1.1,2,2,2,1,1,2,2,2,,7.7
4,PSt3,,7.1,False,1.65,2,1,1,2,1,2,1,2,,8.75
5,RoLi4,,4.5,False,1.2,2,3,2,2,2,2,2,2,,5.7
,,,26.4,,,,,,,,,,,,31.65
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,8.75,7.75,8.25,7.75,7.5,8.5,8.25,8.5,,8.17
,Linking Footwork / Movement  ,,,,0.8,8.5,7.5,8.0,7.25,7.25,8.25,7.5,8.5,,7.83
,Performance  ,,,,0.8,9.0,8.25,8.25,7.5,7.5,8.5,8.0,8.5,,8.17
,Choreography  ,,,,0.8,9.0,8.0,8.25,7.75,7.25,8.25,7.75,8.25,,8.04
,Interpretation / Timing  ,,,,0.8,8.75,7.25,8.0,7.0,7.5,8.5,7.75,8.5,,7.92
,,,,,,,,,,,,,,,32.11
Deduction,Extended lifts,-1.0
