Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Mao ASADA,JPN,193.25,1,60.94,1,132.31,2008-02-17,fc2008
2,Joannie ROCHETTE,CAN,179.54,3,60.04,2,119.5,2008-02-17,fc2008
3,Miki ANDO,JPN,177.66,2,60.07,3,117.59,2008-02-17,fc2008
4,Na-Young KIM,KOR,158.49,6,53.08,4,105.41,2008-02-17,fc2008
5,Mira LEUNG,CAN,157.36,7,53.01,6,104.35,2008-02-17,fc2008
6,Katrina HACKER,USA,153.86,10,49.86,7,104.0,2008-02-17,fc2008
7,Cynthia PHANEUF,CAN,152.67,8,50.63,8,102.04,2008-02-17,fc2008
8,Ashley WAGNER,USA,152.46,12,47.29,5,105.17,2008-02-17,fc2008
9,Anastasia GIMAZETDINOVA,UZB,150.07,4,55.49,10,94.58,2008-02-17,fc2008
10,Fumie SUGURI,JPN,145.06,9,50.24,9,94.82,2008-02-17,fc2008
11,Beatrisa LIANG,USA,144.25,5,54.05,11,90.2,2008-02-17,fc2008
12,Yueren WANG,CHN,129.88,15,44.69,13,85.19,2008-02-17,fc2008
13,Binshu XU,CHN,128.39,11,49.62,14,78.77,2008-02-17,fc2008
14,Yan LIU,CHN,124.09,16,37.33,12,86.76,2008-02-17,fc2008
15,Melinda Sherilyn WANG,TPE,119.58,14,45.95,15,73.63,2008-02-17,fc2008
16,Chae-Hwa KIM,KOR,115.85,13,46.76,16,69.09,2008-02-17,fc2008
17,Loretta HAMUI,MEX,99.89,18,34.87,17,65.02,2008-02-17,fc2008
18,Ana Cecilia CANTU,MEX,94.76,17,37.1,20,57.66,2008-02-17,fc2008
19,Tina WANG,AUS,94.28,21,30.57,18,63.71,2008-02-17,fc2008
20,Lejeanne MARAIS,RSA,90.52,22,29.38,19,61.14,2008-02-17,fc2008
21,Tamami ONO,HKG,88.96,20,31.97,21,56.99,2008-02-17,fc2008
22,Gracielle Jeanne TAN,PHI,80.88,24,28.5,22,52.38,2008-02-17,fc2008
23,Charissa TANSOMBOON,THA,79.28,19,32.31,24,46.97,2008-02-17,fc2008
24,Corenne BRUHNS,MEX,76.89,23,28.63,23,48.26,2008-02-17,fc2008
25,Crystal Wynewyne KIANG,TPE,28.12,25,28.12,DNQ,DNQ,2008-02-17,fc2008
26,Abigail PIETERSEN,RSA,27.44,26,27.44,DNQ,DNQ,2008-02-17,fc2008
27,Morgan FIGGINS,NZL,26.92,27,26.92,DNQ,DNQ,2008-02-17,fc2008
28,Phoebe DI TOMMASO,AUS,25.76,28,25.76,DNQ,DNQ,2008-02-17,fc2008
29,Siobhan MCCOLL,RSA,23.4,29,23.4,DNQ,DNQ,2008-02-17,fc2008
30,Stacy PERFETTI,BRA,21.97,30,21.97,DNQ,DNQ,2008-02-17,fc2008
31,Kristine Y. LEE,HKG,20.53,31,20.53,DNQ,DNQ,2008-02-17,fc2008
32,Tiffany Ting-Ye WU,TPE,18.64,32,18.64,DNQ,DNQ,2008-02-17,fc2008
