12
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
19,Manuel KOLL,AUT,0,51.12,29.77,21.35,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,12,Ref,Scores of Panel
1,3Lz+3T,,10.0,False,0.0,0,0,0,0,0,1,0,0,0,0,0,0,,10.0
2,3F,e,5.5,False,-2.0,-2,-2,-1,-2,-3,-3,-2,-1,-2,-2,-2,-1,,3.5
3,2A,,3.5,False,-0.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,,2.7
4,CiSt3,,3.1,False,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,3.1
5,CSSp3,,2.3,False,0.07,0,0,0,0,1,1,0,0,1,0,0,0,,2.37
6,SlSt2,,2.3,False,0.29,1,0,0,1,1,1,0,0,0,1,0,0,,2.59
7,FSSp3,,2.3,False,0.0,0,0,0,0,0,0,0,0,0,0,0,-1,,2.3
8,CCoSp3,,3.0,False,0.21,0,1,0,0,1,1,0,-1,0,0,0,1,,3.21
,,,32.0,,,,,,,,,,,,,,,,29.77
,Program Components,,,,Factor
,Skating Skills  ,,,,1.0,4.5,3.5,5.75,4.25,5.25,4.25,4.25,4.75,4.25,4.75,4.5,4.5,,4.5
,Transition / Linking Footwork  ,,,,1.0,4.5,3.25,5.75,4.0,4.75,3.75,3.75,3.75,3.75,4.25,4.25,4.0,,4.07
,Performance / Execution  ,,,,1.0,4.75,3.5,6.0,4.25,5.0,4.0,4.25,4.25,4.0,4.5,4.5,4.0,,4.32
,Choreography / Composition  ,,,,1.0,4.5,3.25,6.25,4.0,5.25,4.0,4.0,4.0,3.75,4.5,4.25,4.25,,4.21
,Interpretation  ,,,,1.0,4.75,3.5,5.5,4.25,5.25,3.75,4.25,4.0,3.75,4.5,4.5,4.0,,4.25
,,,,,,,,,,,,,,,,,,,21.35
