ISU GP Cup of Russia,,,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
"",,= +,,+,-,
3 Tatiana VOLOSOZHAR / Stanislav MOROZOV UKR,,58.34  33.54,,26.80,2.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 3T  4.00 -2.60 -3 -2 -3 -3,,-2 -3 -2 -3,,-3 - - -,1.40,
2 3LzTw3  6.00  1.40 2 2 1 2,,2 2 2 In2fo,,2 - - -,7.40,Info
3 3Li4  4.00  0.90 2 2 1 2,,1 2 2 2,,1 - - -,4.90,
4 FiDs3  3.20  0.98 1 2 1 2,,1 1 1 1,,2 - - -,4.18,
5 3LoTh  5.00 -1.64 -3 -2 -2 -2,,-2 -3 -3 -3,,-2 - - -,3.36,
6 FCCoSp3  3.00  0.40 1 2 0 1,,1 0 1 1,,0 - - -,3.40,
7 PCoSp3  4.00  0.50 1 1 1 1,,1 2 1 1,,1 - - -,4.50,
8 SpSq4  3.40  1.00 0 1 1 0,,1 1 1 1,,1 - - -,4.40,
32.60,,,,,33.54,
Program Components Factor,,,,,,
Skating Skills  0.80 6.50 6.75 6.50 7.00,,7.25 7.00 6.50 7.25,,7.25 - - -,7.05,
Transition / Linking Footwork  0.80 6.00 6.25 6.25 6.50,,6.75 6.00 6.00 7.00,,6.50 - - -,6.40,
Performance / Execution  0.80 6.00 6.75 5.50 6.25,,6.75 6.00 5.75 6.75,,7.00 - - -,6.50,
Choreography / Composition  0.80 6.75 6.50 6.50 7.00,,7.00 6.50 6.25 7.25,,7.25 - - -,6.85,
Interpretation  0.80 6.25 6.75 6.50 6.50,,7.00 6.25 6.25 7.00,,7.25 - - -,6.70,
Judges Total Program Component Score (factored),,,,,26.80,
Deductions: Falls: -2.00,,,,,-2.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,,,,
"",,Total Total,,Total,Total,
NOC,,Segment Element,,Program  Component,Deductions,
Rank Name,,,,,,
Code,,Score Score,,Score (factored),,
"",,= +,,+,-,
4 Ksenia OZEROVA / Alexander ENBERT RUS,,52.26  32.58,,19.68,0.00,
"# Executed Base GOE",,The Judges Panel,,,Scores,
Elements Value,,(in random order),,,of Panel,
1 2LzTw2  3.50 -0.06 1 0 0 0,,0 0 1 -1,,-1 - - -,3.44,
2 3T  4.00 -0.40 0 0 0 -1,,-1 -1 0 0,,0 - - -,3.60,
3 FCCoSp4  3.50  0.40 1 1 1 1,,1 1 1 0,,0 - - -,3.90,
4 SpSq3  3.10  0.40 1 1 1 0,,1 1 0 1,,1 - - -,3.50,
5 3LoTh  5.00  0.70 0 2 1 1,,1 1 1 1,,1 - - -,5.70,
6 3Li4  4.00  0.30 1 1 1 0,,0 1 1 0,,1 - - -,4.30,
7 FiDs3  3.20  0.14 -1 1 0 0,,0 0 1 0,,0 - - -,3.34,
8 PCoSp4  4.50  0.30 1 1 1 0,,1 1 1 0,,0 - - -,4.80,
30.80,,,,,32.58,
Program Components Factor,,,,,,
Skating Skills  0.80 5.50 5.50 5.50 5.00,,4.75 5.50 5.25 4.75,,5.00 - - -,5.10,
Transition / Linking Footwork  0.80 5.00 4.50 5.25 4.50,,4.50 4.75 4.50 4.50,,4.50 - - -,4.50,
Performance / Execution  0.80 5.75 5.75 5.50 5.25,,4.75 5.25 5.25 4.50,,4.75 - - -,5.05,
Choreography / Composition  0.80 5.50 5.25 5.25 5.00,,4.50 5.25 5.00 4.50,,5.00 - - -,4.95,
Interpretation  0.80 5.50 5.00 5.50 5.25,,4.75 5.50 5.00 4.50,,5.00 - - -,5.00,
Judges Total Program Component Score (factored),,,,,19.68,
Deductions:,,,,,0.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,,,,
ISU GP Cup of Russia,,,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
5 Lubov ILIUSHECHKINA / Nodari MAISURADZE RUS,,49.96  29.88,,,22.08,2.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3T  4.00  1.40 1 2 1 1,,2 2 1 1,,1,- - -,5.40,
2 2LzTw3  4.00  0.60 1 2 2 1,,1 1 1 In1fo,,2,- - -,4.60,Info
3 3LoTh  5.00 -1.40 -2 -1 -2 -2,,-2 -2 -2 -2,,-2,- - -,3.60,
4 FiDs2  3.00  0.70 1 1 1 1,,1 -1 1 1,,2,- - -,3.70,
5 CCoSp3  3.00 -0.12 -1 -1 0 0,,0 -1 0 0,,-1,- - -,2.88,
6 SpSq1  1.80  0.50 1 2 1 1,,1 1 1 1,,1,- - -,2.30,
7 PCoSp1  3.00  0.30 0 0 0 0,,1 1 1 -1,,1,- - -,3.30,
8 3Li4  4.00  0.10 0 1 1 0,,1 2 -1 0,,-1,- - -,4.10,
27.80,,,,,,29.88,
Program Components Factor,,,,,,,
Skating Skills  0.80 5.50 6.75 5.50 6.25,,5.25 5.75 5.25 5.75,,6.25,- - -,5.85,
Transition / Linking Footwork  0.80 5.25 6.00 5.25 6.00,,5.00 5.25 4.75 5.50,,5.00,- - -,5.35,
Performance / Execution  0.80 5.00 6.50 5.00 5.50,,5.25 5.00 4.75 5.50,,5.50,- - -,5.35,
Choreography / Composition  0.80 5.50 6.50 5.50 5.50,,5.25 5.75 5.00 5.25,,5.75,- - -,5.50,
Interpretation  0.80 5.50 6.50 5.50 6.00,,5.25 5.50 5.25 5.50,,5.50,- - -,5.55,
Judges Total Program Component Score (factored),,,,,,22.08,
Deductions: Falls: -2.00,,,,,,-2.00,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,<  Downgraded jump,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
6 Monica PISOTTA / Michael STEWART CAN,,47.86  28.82,,,19.04,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 2LzTw2  3.50  0.10 0 1 -1 -1,,0 0 1 0,,0,- - -,3.60,
2 2A  3.50 -0.16 -1 1 -1 0,,0 -1 0 -1,,0,- - -,3.34,
3 3Li3  3.50  0.00 1 1 0 0,,0 0 0 0,,0,- - -,3.50,
4 FCCoSp3  3.00 -0.18 0 0 -1 -1,,-1 0 0 -1,,-1,- - -,2.82,
5 SpSq4  3.40  0.20 0 1 0 0,,0 0 0 0,,1,- - -,3.60,
6 3STh  4.50 -0.42 -1 0 0 -1,,0 -1 -1 -1,,0,- - -,4.08,
7 FiDs1  2.80  0.28 -1 1 1 -1,,0 0 1 0,,1,- - -,3.08,
8 PCoSp4  4.50  0.30 0 1 0 0,,1 1 0 0,,1,- - -,4.80,
28.70,,,,,,28.82,
