Rank,Name,Nation,Points,Short Rank,Short Score,Free Rank,Free Score,Date,Event
1,Brian JOUBERT,FRA,230.78,1,86.1,4,144.68,2008-11-23,gprus08
2,Tomas VERNER,CZE,222.94,2,73.2,1,149.74,2008-11-23,gprus08
3,Alban PREAUBERT,FRA,219.08,4,71.6,3,147.48,2008-11-23,gprus08
4,Jeremy ABBOTT,USA,217.48,6,68.8,2,148.68,2008-11-23,gprus08
5,Adam RIPPON,USA,207.93,3,71.62,5,136.31,2008-11-23,gprus08
6,Kevin VAN DER PERREN,BEL,199.13,5,69.68,7,129.45,2008-11-23,gprus08
7,Sergei VORONOV,RUS,190.31,12,58.5,6,131.81,2008-11-23,gprus08
8,Kristoffer BERNTSSON,SWE,185.07,7,66.21,9,118.86,2008-11-23,gprus08
9,Artem BORODULIN,RUS,180.04,11,58.84,8,121.2,2008-11-23,gprus08
10,Alexander USPENSKI,RUS,174.24,9,62.6,10,111.64,2008-11-23,gprus08
11,Chengjiang LI,CHN,163.6,8,62.95,12,100.65,2008-11-23,gprus08
12,Vaughn CHIPEUR,CAN,161.49,10,59.6,11,101.89,2008-11-23,gprus08
