ISU GP Cup of Russia,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
Code,,Score Score,Score (factored),,,,
"",,= +,+,,-,,
1 Tomas VERNER CZE,,149.74  73.04,76.70,,0.00,,
"# Executed Base GOE",,The Judges Panel,,,Scores,,
Elements Value,,(in random order),,of Panel,,,
1 4T  9.80  1.20 0 1 1 1,,2 2 2 1 1,1 - -,,11.00,,
2 3Lz+3T  10.00  1.80 2 1 1 2,,1 In2fo 2 1 2,2 - -,,11.80,,Info
3 3A  8.20  0.80 0 0 1 1,,1 1 2 1 1,1 - -,,9.00,,
4 3S  4.50 -2.00 -2 -2 -2 -2,,-2 -2 -2 -2 -2,-2 - -,,2.50,,
5 SlSt3  3.30  0.80 1 2 1 2,,1 2 2 2 1,1 - -,,4.10,,
6 FSSp4  3.00  0.20 1 1 0 0,,0 1 0 1 0,0 - -,,3.20,,
7 3A+SEQ  7.22 x -2.80 -2 -2 -2 -2,,-2 -2 -2 -2 -2,-2 - -,,4.42,,
8 3Lo  5.50 x  0.20 1 0 0 0,,1 1 0 1 0,1 - -,,5.70,,
9 2Lz+2T+1Lo  4.07 x  0.00 0 0 0 -1,,0 0 0 0 0,0 - -,,4.07,,
10 3F !  6.05 x -0.20 -1 0 0 0,,0 0 0 -1 -1,0 - -,,5.85,,
11 CSSp4  3.00  0.20 0 0 1 0,,1 0 1 1 1,0 - -,,3.20,,
12 CiSt3  3.30  0.90 2 1 2 2,,2 2 2 2 0,1 - -,,4.20,,
13 CCoSp4  3.50  0.50 1 0 1 1,,1 1 2 2 1,1 - -,,4.00,,
71.44,,,,,73.04,,
Program Components Factor,,,,,,,
Skating Skills  2.00 7.75 7.75 7.50 7.75,,7.50 7.50 8.25 7.50 7.50,7.00 - -,,7.65,,
Transition / Linking Footwork  2.00 7.50 7.00 7.25 7.75,,7.25 7.00 8.00 7.00 7.00,6.75 - -,,7.30,,
Performance / Execution  2.00 7.75 7.50 7.50 7.75,,7.50 7.25 8.00 7.50 7.50,6.75 - -,,7.60,,
Choreography / Composition  2.00 8.00 7.50 7.50 8.00,,7.50 7.75 8.25 7.75 8.00,7.00 - -,,7.85,,
Interpretation  2.00 7.75 8.00 7.75 8.00,,7.75 7.50 8.25 7.75 8.25,7.25 - -,,7.95,,
Judges Total Program Component Score (factored),,,,,76.70,,
Deductions:,,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
Code,,Score Score,Score (factored),,,,
"",,= +,+,,-,,
2 Jeremy ABBOTT USA,,148.68  77.98,70.70,,0.00,,
"# Executed Base GOE",,The Judges Panel,,,Scores,,
Elements Value,,(in random order),,of Panel,,,
1 3Lz  6.00  1.00 1 1 1 1,,2 1 1 1 1,1 - -,,7.00,,
2 3F  5.50 -0.60 -1 -1 0 0,,-1 -1 0 -1 -1,-1 - -,,4.90,,
3 FSSp4  3.00  0.40 0 1 0 1,,0 2 1 1 1,1 - -,,3.40,,
4 3A  8.20  1.00 1 1 1 1,,1 1 2 1 1,2 - -,,9.20,,
5 3S  4.50  0.80 1 0 0 1,,1 1 1 1 1,1 - -,,5.30,,
6 CSSp3  2.60  0.30 0 0 1 1,,0 1 1 1 0,1 - -,,2.90,,
7 3A+2T  10.45 x -1.68 -2 -2 -1 -1,,-1 0 -1 -2 -1,-2 - -,,8.77,,
8 CiSt3  3.30  0.50 0 1 1 1,,1 2 1 1 1,0 - -,,3.80,,
9 3Lz+3T+2T  12.43 x  1.00 1 1 1 1,,0 1 2 1 1,1 - -,,13.43,,
10 3Lo  5.50 x  0.60 0 0 0 1,,1 1 1 1 1,1 - -,,6.10,,
11 SlSt3  3.30  0.50 0 1 1 1,,1 1 1 1 1,1 - -,,3.80,,
12 2A+2T  5.28 x  0.20 0 0 0 0,,0 0 1 1 1,0 - -,,5.48,,
13 CCoSp3  3.00  0.90 2 1 2 1,,1 2 3 2 2,2 - -,,3.90,,
73.06,,,,,77.98,,
Program Components Factor,,,,,,,
