Rank,Name,Nation,Points,Short Rank,Short Score,OD Rank,OD Score,Free Rank,Free Score,Date,Event
1,Jana KHOKHLOVA / Sergei NOVITSKI,RUS,187.62,2,36.19,1,59.33,1,92.1,2008-11-23,gprus08
2,Oksana DOMNINA / Maxim SHABALIN,RUS,184.66,1,38.77,2,58.64,3,87.25,2008-11-23,gprus08
3,Meryl DAVIS / Charlie WHITE,USA,170.61,3,35.77,8,43.68,2,91.16,2008-11-23,gprus08
4,Anna CAPPELLINI / Luca LANOTTE,ITA,169.76,4,32.57,3,54.25,4,82.94,2008-11-23,gprus08
5,Alexandra ZARETSKI / Roman ZARETSKI,ISR,151.43,7,29.33,7,45.99,5,76.11,2008-11-23,gprus08
6,Katherine COPELY / Deividas STAGNIUNAS,LTU,151.19,6,29.57,5,47.65,7,73.97,2008-11-23,gprus08
7,Anastasia PLATONOVA / Alexander GRACHEV,RUS,151.14,8,28.46,6,47.04,6,75.64,2008-11-23,gprus08
8,Anna ZADOROZHNIUK / Sergei VERBILLO,UKR,145.72,5,30.16,4,48.38,10,67.18,2008-11-23,gprus08
9,Allie HANN-MCCURDY / Michael CORENO,CAN,138.51,9,26.43,9,41.49,8,70.59,2008-11-23,gprus08
10,Zoe BLANC / Pierre-Lup BOUQUET,FRA,132.28,10,24.43,10,40.47,9,67.38,2008-11-23,gprus08
